,UF,Município,População,Casos novos notificados na semana epidemiológica,Casos Acumulados,Incidência covid-19 (100 mil hab),Óbitos novos notificados na semana epidemiológica,Óbitos Acumulados,Taxa mortalidade (100 mil hab),Letalidade (%), Casos por 100 mil (recalc),Óbitos por 100 mil (recalc)
193,AP,Macapá,503327,27,103512,23.4440036000453,0,1619,0.3973559932211068,1.564069866295695,20565.556785151603,321.65967651248593
194,AP,Mazagão,21632,199,4876,,0,28,,0.5742411812961444,22540.68047337278,129.43786982248523
195,AP,Oiapoque,27270,11,8718,,0,55,,0.6308786418903418,31969.196919691967,201.6868353502017
196,AP,Pedra Branca do Amapari,16502,5,4463,,0,14,,0.3136903428187318,27045.206641619196,84.83820143012969
197,AP,Porto Grande,21971,8,4085,,0,31,,0.7588739290085679,18592.69036457148,141.095079878021
198,AP,Pracuúba,5120,0,622,,0,6,,0.964630225080386,12148.4375,117.1875
199,AP,Santana,121364,513,36195,430.1110708282523,0,229,0.0,0.6326840723856886,29823.506146798063,188.68857321775815
200,AP,Serra do Navio,5397,0,2054,,0,5,,0.24342745861733206,38058.18047063183,92.64406151565684
201,AP,Tartarugalzinho,17315,0,4075,,0,19,,0.4662576687116564,23534.507652324573,109.73144672249495
202,AP,Vitória do Jari,15931,0,4540,,0,28,,0.6167400881057269,28497.897181595632,175.75795618605235
203,BA,,0,0,22267,,0,361,,1.6212332150716307,inf,inf
204,BA,Abaíra,8739,0,370,,0,17,,4.594594594594595,4233.894038219476,194.53026662089482
205,BA,Abaré,20086,0,3166,,0,19,,0.6001263423878711,15762.22244349298,94.59324902917454
206,BA,Acajutiba,15159,0,801,,0,28,,3.495630461922597,5283.989709083713,184.70875387558547
207,BA,Adustina,17040,0,1832,,0,31,,1.6921397379912666,10751.173708920187,181.924882629108
208,BA,Água Fria,16970,0,582,,0,13,,2.2336769759450172,3429.5816146140246,76.60577489687684
209,BA,Aiquara,4446,0,719,,0,12,,1.6689847009735743,16171.839856050383,269.9055330634278
210,BA,Alagoinhas,151596,0,21265,67.28409720573103,0,375,0.0,1.7634610862920292,14027.414971371278,247.36800443283462
211,BA,Alcobaça,22470,0,3088,,0,33,,1.0686528497409327,13742.7681352915,146.86248331108143
212,BA,Almadina,5464,0,900,,0,13,,1.4444444444444444,16471.449487554903,237.92093704245974
213,BA,Amargosa,37241,0,5458,,0,71,,1.3008427995602785,14655.890013694583,190.65008995461992
214,BA,Amélia Rodrigues,25102,0,3182,,0,57,,1.7913262099308613,12676.280774440285,227.07353995697557
215,BA,América Dourada,16094,0,1384,,0,14,,1.0115606936416186,8599.478066360134,86.98893997763142
216,BA,Anagé,22005,0,1346,,0,34,,2.526002971768202,6116.7916382640315,154.51033855941833
217,BA,Andaraí,13143,0,1579,,0,15,,0.9499683343888538,12013.999847827741,114.12919424788862
218,BA,Andorinha,14595,0,1727,,0,23,,1.3317892298784018,11832.819458718739,157.58821514217198
219,BA,Angical,13977,0,1416,,0,24,,1.694915254237288,10130.92938398798,171.71066752522
